Form,Section,Variable,Type,Question,Answer Options,Validation,Minimum,Maximum,List,Skip Logic,Body System,Syndrome,Definition,Completion Guideline,Standardized Term Codelist,Standardized Term Code,Metathesaurus,preset_Disease_Core,preset_Disease_Dengue,preset_Disease_Mpox,preset_Disease_Nigeria_Mpox,COMMENTS
presentation,,subjid,text,Participant Identification Number (PIN):,,,,,,,,,,,,,,1,1,1,1,
presentation,INCLUSION CRITERIA,inclu_disease,user_list,Which of the following is the individual suspected/confirmed to have,,,,,inclusion_Diseases,,,,,,,,,1,1,,,
presentation,INCLUSION CRITERIA,inclu_diseasenipah,checkbox,Which of the following is the individual suspected/confirmed to have (_Under revision),"1, Nipah | 2, JE | 3, HSV | 99, Other | 99, Unknown                                                             ",,,,,,,,,,,,,,,,,
presentation,INCLUSION CRITERIA,inclu_mpox,radio,Suspected of confirmed mpox,"1, Yes | 0, No",,,,,,,,,,,,,,,,1,
presentation,INCLUSION CRITERIA,inclu_consent,radio,Participant has provided consent to participate in this study,"1, Yes | 0, No",,,,,,,,,,,,,,,,1,
presentation,ONSET & ADMISSION,dates_consent,date_dmy,Date of consent:,,date_dmy,,today,,[inclu_consent]='1',,,,,,,,,,,1,
presentation,ONSET & ADMISSION,dates_enrolment,date_dmy,Date of enrolment / start of data collection,,date_dmy,,today,,,,,,,,,,1,1,,1,
presentation,ONSET & ADMISSION,dates_hosp,text,Which hospital/community has the participant been enrolled at?,,,,,,,,,,,,,,,,,1,
presentation,ONSET & ADMISSION,dates_onsetdate,date_dmy,Onset date of first / earliest symptom,,date_dmy,,today,,,,,Please provide the date of patient reported onset of the first symptom that you clinically believe was related to this episode of illness.,Please provide the date of the first symptom that you clinically believe was related to this episode of illness in day/month/year format.,,,,1,1,,1,
presentation,ONSET & ADMISSION,dates_firstsym,checkbox,First symptom (select multiple if occurred at same time),"1, Fever | 2, Skin rash | 3, Mucosal rash | 88, Other systemic symptoms | 99, Unknown",,,,,,,,"This refers to the first symptom, or symptoms (if multiple occurred at the same time), that you clinically believe was related to this episode of illness.","Please select the most appropriate option(s). If 'Other systemic symptoms', please specify in the space below.",,,,,,,1,
presentation,ONSET & ADMISSION,dates_firstsymoth,text,Specify other symptom:,,,,,,[dates_firstsym(88)]='1',,,,"Please specifiy the first symptom, or symptoms (if multiple occurred at the same time), that you clinically believe was related to this episode of illness.",,,,,,,1,
presentation,ONSET & ADMISSION,dates_adm,radio,Admitted to hospital?,"1, Yes | 0, No | 99, Unknown",,,,,,,,,"Please indicate 'Yes', if that patient was admitted to your site.",,,,1,1,,1,
presentation,ONSET & ADMISSION,dates_admdate,date_dmy,Date of hospital admission,,date_dmy,,today,,[dates_adm] = '1',,,,Please enter the date of admission to your site in day/month/year format.,,,,1,1,,,
presentation,ONSET & ADMISSION,dates_admtime,text,Time of hospital admission,,time,,,,[dates_adm] = '1',,,,Please enter the time of admission to your site in 24-hour format (00:00 - 24:00 hours).,,,,,1,,,
presentation,ONSET & ADMISSION,dates_recadm,date_dmy,Date of most recent hospital admission,,date_dmy,,today,,[dates_adm]='1',,,,Please enter the date of admission to your site in day/month/year format.,,,,,,,1,
presentation,ONSET & ADMISSION,dates_mpoxhist,radio,History of contact with suspected or confirmed mpox case?,"1, Yes | 0, No | 99, Unknown",,,,,[inclu_disease]='4',,,,,,,,,,,1,
presentation,ONSET & ADMISSION,dates_mpoxknown,radio,Does participant know date of contact with suspected or confirmed case?,"1, Yes | 0, No | 99, Unknown",,,,,[dates_mpoxhist]='1',,,,,,,,,,,1,
presentation,ONSET & ADMISSION,dates_mpoxdate,date_dmy,"If YES, date of contact:",,date_dmy,,today,,[dates_mpoxknown]='1',,,,,,,,,,,1,
presentation,ONSET & ADMISSION,dates_mpoxexpo,checkbox,Type of exposure,"1, Community contact | 2, Vertical transmission | 3, Healthcare worker exposure | 4, Not known",,,,,[dates_mpoxhist]='1',,,,,,,,,,,1,
presentation,RE-ADMISSION AND PREVIOUS PIN,readm_prevadm,radio,Was the patient admitted previously or transferred from any other facility during this illness episode?,"1, YES-admitted previously to this facility and discharged | 2, YES-admitted to other facility and discharged | 3, YES-admitted to another facility, then transferred to this facility | 0, No | 99, Unknown",,,,,,,,,,,,,1,1,,1,
presentation,RE-ADMISSION AND PREVIOUS PIN,readm_numprev,number,Total number of previous admissions for this infection,,number,1,,,[readm_prevadm] = '1' or [readm_prevadm]='2' or [readm_prevadm]='3' ,,,,,,,,1,1,,1,
presentation,RE-ADMISSION AND PREVIOUS PIN,readm_firstadm_date,date_dmy,Date of earliest admission for this infection,,date_dmy,,today,,[readm_prevadm] = '1' or [readm_prevadm]='2' or [readm_prevadm]='3' ,,,,,,,,1,1,,1,
presentation,RE-ADMISSION AND PREVIOUS PIN,readm_difpin,radio,Has the patient's data been previously collected under a different patient number? ,"1, Yes | 0, No | 99, Unknown",,,,,,,,,,,,,1,1,,1,
presentation,RE-ADMISSION AND PREVIOUS PIN,readm_prevpin,text,Previous participant identification number (PIN),,,,,,[readm_difpin] = '1',,,,,,,,1,1,,1,
presentation,DEMOGRAPHICS,demog_sex,radio,Sex at Birth,"1, Male | 2, Female | 99, Not specified/Unknown",,,,,,,,,,,,,1,1,,1,
presentation,DEMOGRAPHICS,demog_age,text,Age,,number,,,,,,,,,,,,1,1,,1,
presentation,DEMOGRAPHICS,demog_age_units,radio,Age units,"1, Years | 2, Months | 3, Days",,,,,,,,,,,,,1,1,,1,
presentation,DEMOGRAPHICS,demog_height,,Height (select units),,,,,,,,,,,,,,,,,,
presentation,DEMOGRAPHICS,demog_height_cm,number,Height (cm),,number,0,250,,,,,,,,,,1,1,,1,
presentation,DEMOGRAPHICS,demog_height_in,number,Height (in),,number,0,98,,,,,,,,,,,,,,
presentation,DEMOGRAPHICS,demog_weight,,Weight (select units),,,,,,,,,,,,,,,,,,
presentation,DEMOGRAPHICS,demog_weight_kg,number,Weight (kg),,number,0,800,,,,,,,,,,1,1,,1,
presentation,DEMOGRAPHICS,demog_weight_lb,number,Weight (lb),,number,0,1763,,,,,,,,,,,,,,
presentation,DEMOGRAPHICS,demog_race,checkbox,Race (select all that apply),"1, Arab | 2, Black | 3, East Asian | 4, South Asian | 5, South-East Asian | 6, West Asian | 7, Latin American | 8, White | 9, Aboriginal/First Nations/Indigenous | 88, Other | 99, Unknown",,,,,,,,,,,,,1,1,,1,
